trans_id,date,store_id,product_id,customer_id,quantity,total_revenue,cost,gross_profit,shipping_cost_total,allocated_marketing_dzd,net_profit
1,2024-07-02 17:15:00,3,P125,C0200,2,9000.0,6172.0,2828.0,488.0,295.1181573437033,2044.88
2,2023-07-01 13:52:00,11,P136,C0883,1,2500.0,1606.0,894.0,992.3333333333334,271.7378766206801,-370.07
3,2025-01-05 18:56:00,7,P106,C0669,1,320000.0,198987.0,121013.0,542.6666666666666,5259.254371494557,115211.08
4,2024-08-01 13:27:00,2,P125,C0848,1,4500.0,3086.0,1414.0,542.6666666666666,120.96176264863604,750.37
5,2023-04-30 13:45:00,10,P113,C0963,1,58000.0,37157.0,20843.0,992.3333333333334,3531.339045051983,16319.33
6,2024-06-25 19:46:00,11,P136,C0537,1,2500.0,1606.0,894.0,992.3333333333334,194.1914498141264,-292.52
7,2024-02-15 18:40:00,2,P118,C0615,3,10500.0,7419.0,3081.0,542.6666666666666,701.5443163642381,1836.79
8,2023-07-30 12:00:00,1,P137,C0596,2,4400.0,2844.0,1556.0,0.0,478.25866285239704,1077.74
9,2023-04-06 13:40:00,6,P125,C0861,1,4500.0,3086.0,1414.0,0.0,88.99139483690215,1325.01
10,2025-09-12 10:59:00,2,P137,C0703,1,2200.0,1422.0,778.0,542.6666666666666,182.81545465156998,52.52
11,2025-03-27 12:18:00,3,P112,C0554,1,38000.0,25796.0,12204.0,488.0,872.8882250331638,10843.11
12,2024-11-10 17:46:00,9,P115,C0403,1,230000.0,161913.0,68087.0,488.0,15806.112405737527,51792.89
13,2025-09-11 14:24:00,1,P127,C0117,1,9500.0,6907.0,2593.0,0.0,228.73211009174312,2364.27
14,2025-02-05 16:10:00,4,P121,C0885,3,2400.0,1578.0,822.0,488.0,137.4042691638493,196.6
15,2024-02-12 16:57:00,7,P109,C1035,1,42000.0,31127.0,10873.0,542.6666666666666,798.3813659692064,9531.95
16,2024-07-15 13:12:00,2,P136,C0161,1,2500.0,1606.0,894.0,542.6666666666666,185.8691619605095,165.46
17,2024-10-19 12:02:00,5,P137,C0494,2,4400.0,2844.0,1556.0,488.0,334.17721518987344,733.82
18,2023-03-23 20:26:00,2,P132,C0855,1,38000.0,23961.0,14039.0,542.6666666666666,4422.325950938524,9074.01
