trans_id,date,store_id,product_id,customer_id,quantity,total_revenue,month,unit_cost,city_id,region_name,shipping_cost,subcategory_id,category_id,category,allocated_marketing_dzd,product_total_cost,net_profit
1,2024-07-02 17:15:00,3,P125,C0200,2,9000.0,2024-07,3086.0,4,East,0.0,7,3,audio,295.1181573437033,6172.0,2532.88
2,2023-07-01 13:52:00,11,P136,C0883,1,2500.0,2023-07,1606.0,3,East,0.0,15,5,printers,271.7378766206801,1606.0,622.26
3,2025-01-05 18:56:00,7,P106,C0669,1,320000.0,2025-01,198987.0,5,South,0.0,2,1,computers,5259.254371494557,198987.0,115753.75
3,2025-01-05 18:56:00,7,P106,C0669,1,320000.0,2025-01,198987.0,5,South,0.0,2,1,computers,6741.537446387331,198987.0,114271.46
4,2024-08-01 13:27:00,2,P125,C0848,1,4500.0,2024-08,3086.0,10,South,0.0,7,3,audio,120.96176264863604,3086.0,1293.04
5,2023-04-30 13:45:00,10,P113,C0963,1,58000.0,2023-04,37157.0,1,North,0.0,4,2,smartphones,3531.339045051983,37157.0,17311.66
6,2024-06-25 19:46:00,11,P136,C0537,1,2500.0,2024-06,1606.0,3,East,0.0,15,5,printers,194.1914498141264,1606.0,699.81
7,2024-02-15 18:40:00,2,P118,C0615,3,10500.0,2024-02,2473.0,1,North,0.0,6,2,smartphones,701.5443163642381,7419.0,2379.46
8,2023-07-30 12:00:00,1,P137,C0596,2,4400.0,2023-07,1422.0,7,North,0.0,15,5,printers,478.25866285239704,2844.0,1077.74
9,2023-04-06 13:40:00,6,P125,C0861,1,4500.0,2023-04,3086.0,1,North,0.0,7,3,audio,88.99139483690215,3086.0,1325.01
10,2025-09-12 10:59:00,2,P137,C0703,1,2200.0,2025-09,1422.0,8,West,0.0,15,5,printers,182.81545465156998,1422.0,595.18
11,2025-03-27 12:18:00,3,P112,C0554,1,38000.0,2025-03,25796.0,2,West,0.0,4,2,smartphones,872.8882250331638,25796.0,11331.11
12,2024-11-10 17:46:00,9,P115,C0403,1,230000.0,2024-11,161913.0,2,West,0.0,5,2,smartphones,15806.112405737527,161913.0,52280.89
13,2025-09-11 14:24:00,1,P127,C0117,1,9500.0,2025-09,6907.0,2,West,0.0,8,3,audio,228.73211009174312,6907.0,2364.27
14,2025-02-05 16:10:00,4,P121,C0885,3,2400.0,2025-02,526.0,6,East,0.0,6,2,smartphones,137.4042691638493,1578.0,684.6
15,2024-02-12 16:57:00,7,P109,C1035,1,42000.0,2024-02,31127.0,7,North,0.0,3,1,computers,798.3813659692064,31127.0,10074.62
16,2024-07-15 13:12:00,2,P136,C0161,1,2500.0,2024-07,1606.0,11,East,0.0,15,5,printers,185.8691619605095,1606.0,708.13
17,2024-10-19 12:02:00,5,P137,C0494,2,4400.0,2024-10,1422.0,6,East,0.0,15,5,printers,334.17721518987344,2844.0,1221.82
18,2023-03-23 20:26:00,2,P132,C0855,1,38000.0,2023-03,23961.0,4,East,0.0,13,5,printers,4422.325950938524,23961.0,9616.67
19,2023-04-19 09:22:00,6,P101,C0519,1,260000.0,2023-04,167880.0,3,East,0.0,1,1,computers,0.0,167880.0,92120.0
20,2025-01-04 17:18:00,9,P117,C0593,1,290000.0,2025-01,209699.0,1,North,0.0,5,2,smartphones,9210.006869704603,209699.0,71090.99
20,2025-01-04 17:18:00,9,P117,C0593,1,290000.0,2025-01,209699.0,1,North,0.0,5,2,smartphones,16716.670483169226,209699.0,63584.33
21,2024-06-09 14:21:00,1,P119,C1036,1,2800.0,2024-06,1695.0,7,North,0.0,6,2,smartphones,100.1344251431817,1695.0,1004.87
22,2023-01-29 12:19:00,2,P120,C1068,3,4500.0,2023-01,1029.0,10,South,0.0,6,2,smartphones,189.20041955785058,3087.0,1223.8
23,2023-05-28 13:13:00,4,P137,C1051,2,4400.0,2023-05,1422.0,5,South,0.0,15,5,printers,542.8436018957345,2844.0,1013.16
24,2025-09-06 13:55:00,1,P120,C1102,1,1500.0,2025-09,1029.0,5,South,0.0,6,2,smartphones,60.200305484113706,1029.0,410.8
